CELL_ID,C1QC,CD107a,CD11b,CD141,CD183,CD196,CD227,CD25,CD31,CD45,CD68,CollagenIV,EpCAM,Nestin,Perlecan,RORgammaT,SPP1,TFAM,VWF,aSMA,bCatenin1
1636,241.2449951171875,289.385009765625,39.637001037597656,25.84600067138672,1300.7869873046875,43.74399948120117,26.090999603271484,34.86800003051758,20.820999145507812,123.18399810791016,58.13399887084961,117.56500244140625,23.67099952697754,137.57400512695312,46.933998107910156,1254.10205078125,164.81900024414062,210.43299865722656,74.38500213623047,132.96099853515625,183.84100341796875
1637,193.0489959716797,112.96399688720703,31.305999755859375,22.360000610351562,1117.0849609375,35.823001861572266,30.427000045776367,38.44200134277344,28.459999084472656,99.64800262451172,51.4630012512207,102.77400207519531,22.05699920654297,104.25700378417969,60.266998291015625,1890.748046875,204.79200744628906,145.50599670410156,101.58100128173828,129.75100708007812,235.55299377441406
1638,57.2130012512207,63.80099868774414,26.486000061035156,23.625,148.16299438476562,25.209999084472656,28.648000717163086,23.25200080871582,25.461999893188477,42.821998596191406,38.94200134277344,204.64300537109375,20.351999282836914,35.737998962402344,68.0469970703125,365.8080139160156,80.11799621582031,76.25199890136719,35.0629997253418,78.66899871826172,50.0369987487793
1639,372.9330139160156,210.45399475097656,40.191001892089844,20.915000915527344,1473.0450439453125,44.4109992980957,22.422000885009766,31.825000762939453,27.308000564575195,155.67599487304688,62.81999969482422,178.4969940185547,19.341999053955078,135.4739990234375,54.04899978637695,1300.7960205078125,184.7570037841797,160.1929931640625,69.85800170898438,95.12999725341797,195.03599548339844
1640,94.27300262451172,326.4209899902344,42.12200164794922,17.527000427246094,1156.1800537109375,39.06399917602539,244.73800659179688,36.28900146484375,21.961000442504883,146.8000030517578,53.75199890136719,148.70700073242188,23.062000274658203,42.60300064086914,56.516998291015625,1848.426025390625,232.27099609375,321.4150085449219,81.62799835205078,112.67400360107422,244.8800048828125
1641,64.08300018310547,66.79299926757812,40.39500045776367,23.48200035095215,274.489990234375,34.72800064086914,25.426000595092773,24.30500030517578,22.510000228881836,50.2869987487793,42.832000732421875,92.69400024414062,20.030000686645508,40.2859992980957,57.189998626708984,661.5460205078125,115.40399932861328,89.00700378417969,54.11600112915039,89.08200073242188,66.05500030517578
1642,67.63899993896484,138.41000366210938,40.262001037597656,25.077999114990234,257.885986328125,33.117000579833984,24.77400016784668,21.726999282836914,20.625999450683594,114.75299835205078,42.222999572753906,167.1269989013672,17.243999481201172,41.84199905395508,51.965999603271484,398.80999755859375,82.4209976196289,73.70099639892578,38.82099914550781,152.63400268554688,94.4000015258789
1643,198.69700622558594,179.4219970703125,38.42499923706055,23.80500030517578,1683.14501953125,45.46699905395508,27.77400016784668,30.069000244140625,21.913000106811523,106.26000213623047,55.34299850463867,116.64800262451172,19.865999221801758,160.24400329589844,40.452999114990234,1315.1610107421875,188.427001953125,164.0590057373047,135.51400756835938,196.81500244140625,178.91700744628906
1644,292.82598876953125,178.9040069580078,41.98400115966797,26.750999450683594,2133.875,54.715999603271484,37.45000076293945,41.09400177001953,26.79599952697754,155.44400024414062,68.50199890136719,121.47200012207031,18.399999618530273,216.5449981689453,52.262001037597656,2339.028076171875,246.4340057373047,250.1490020751953,96.9280014038086,98.58599853515625,249.01600646972656
1645,67.572998046875,182.44700622558594,32.766998291015625,23.523000717163086,716.68798828125,40.84700012207031,508.04901123046875,28.1560001373291,20.774999618530273,129.5780029296875,44.465999603271484,289.1839904785156,34.20000076293945,31.511999130249023,42.24399948120117,1153.1669921875,148.48199462890625,359.9339904785156,57.6879997253418,89.15899658203125,364.0880126953125
1646,167.46099853515625,681.958984375,37.12200164794922,23.78499984741211,1246.958984375,58.29899978637695,613.5330200195312,32.29600143432617,24.422000885009766,197.36500549316406,45.75299835205078,114.79299926757812,28.976999282836914,28.183000564575195,50.608001708984375,1801.6500244140625,218.0260009765625,530.5479736328125,97.58799743652344,117.42900085449219,265.7799987792969
1647,67.66699981689453,492.69500732421875,34.176998138427734,17.33300018310547,983.614013671875,40.244998931884766,1795.9520263671875,38.6870002746582,22.277000427246094,152.0959930419922,46.9119987487793,207.0679931640625,32.28900146484375,33.04800033569336,46.73099899291992,1174.9000244140625,197.43800354003906,265.0159912109375,83.77100372314453,101.73500061035156,298.16900634765625
1648,118.99500274658203,319.55499267578125,42.722999572753906,26.239999771118164,1044.237060546875,33.10300064086914,828.6859741210938,38.79600143432617,23.808000564575195,161.781005859375,54.6510009765625,126.95500183105469,23.663999557495117,99.34500122070312,58.81100082397461,1196.9990234375,229.21099853515625,246.7480010986328,67.61499786376953,200.8070068359375,350.3970031738281
1649,178.1540069580078,181.6060028076172,37.80099868774414,25.64699935913086,1143.3060302734375,39.994998931884766,1426.300048828125,37.5880012512207,27.183000564575195,148.60299682617188,51.020999908447266,108.37000274658203,17.08799934387207,47.117000579833984,60.37200164794922,1460.14697265625,288.50799560546875,484.5929870605469,82.08799743652344,65.13500213623047,102.0510025024414
1650,415.656005859375,136.2519989013672,41.55799865722656,24.44099998474121,1569.697021484375,43.34400177001953,27.854999542236328,31.78499984741211,22.06800079345703,158.2449951171875,56.85200119018555,105.9520034790039,19.844999313354492,148.6219940185547,53.12300109863281,1305.7530517578125,220.96400451660156,181.5679931640625,124.35099792480469,190.42599487304688,202.72999572753906
1651,104.2770004272461,144.3300018310547,35.39799880981445,24.9950008392334,474.3680114746094,32.619998931884766,26.582000732421875,20.88599967956543,26.799999237060547,97.37699890136719,52.861000061035156,728.4180297851562,14.744999885559082,46.595001220703125,54.16600036621094,730.0679931640625,111.69999694824219,92.81800079345703,42.71099853515625,481.39300537109375,88.35700225830078
1652,104.23899841308594,230.9759979248047,45.39099884033203,22.775999069213867,985.3359985351562,41.10599899291992,482.7090148925781,21.658000946044922,28.775999069213867,93.1760025024414,43.814998626708984,103.26399993896484,20.972999572753906,33.89400100708008,49.972999572753906,1600.208984375,248.95199584960938,510.4939880371094,63.49399948120117,93.71499633789062,184.01800537109375
1653,361.5889892578125,222.57400512695312,45.63999938964844,25.180999755859375,1313.35205078125,42.22200012207031,24.36400032043457,35.20600128173828,21.874000549316406,145.85400390625,53.41899871826172,154.40899658203125,18.361000061035156,111.74400329589844,54.67599868774414,1045.8060302734375,168.83599853515625,130.25599670410156,79.47100067138672,115.41999816894531,179.27000427246094
